tanggal,harga
2022-08-14,51333.33
2022-08-15,50666.67
2022-08-16,46000.0
2022-08-17,46666.67
2022-08-18,46000.0
2022-08-19,45000.0
2022-08-20,45000.0
2022-08-21,45000.0
2022-08-22,43000.0
2022-08-23,42000.0
2022-08-24,42333.33
2022-08-25,41333.33
2022-08-26,39666.67
2022-08-27,39333.33
2022-08-28,38666.67
2022-08-29,40666.67
2022-08-30,43333.33
2022-08-31,43666.67
2022-09-01,45666.67
2022-09-02,46333.33
2022-09-03,43333.33
2022-09-04,43333.33
2022-09-05,50000.0
2022-09-06,52666.67
2022-09-07,55333.33
2022-09-08,55000.0
2022-09-09,51666.67
2022-09-10,52000.0
2022-09-11,52000.0
2022-09-12,48333.33
2022-09-13,46666.67
2022-09-14,41333.33
2022-09-15,30000.0
2022-09-16,27000.0
2022-09-17,26000.0
2022-09-18,28000.0
2022-09-19,24333.33
2022-09-20,25000.0
2022-09-21,28000.0
2022-09-22,31333.33
2022-09-23,32000.0
2022-09-24,31333.33
2022-09-25,30666.67
2022-09-26,30666.67
2022-09-27,30000.0
2022-09-28,30000.0
2022-09-29,30666.67
2022-09-30,32000.0
2022-10-01,32000.0
2022-10-02,30000.0
2022-10-03,30666.67
2022-10-04,32333.33
2022-10-05,33000.0
2022-10-06,34000.0
2022-10-07,31000.0
2022-10-08,29333.33
2022-10-09,29333.33
2022-10-10,30000.0
2022-10-11,30000.0
2022-10-12,30000.0
2022-10-13,30000.0
2022-10-14,27666.67
2022-10-15,27000.0
2022-10-16,27000.0
2022-10-17,27000.0
2022-10-18,27000.0
2022-10-19,25333.33
2022-10-20,25333.33
2022-10-21,22333.33
2022-10-22,20666.67
2022-10-23,20666.67
2022-10-24,20333.33
2022-10-25,20000.0
2022-10-26,20000.0
2022-10-27,20000.0
2022-10-28,20000.0
2022-10-29,20000.0
2022-10-30,20666.67
2022-10-31,21666.67
2022-11-01,20666.67
2022-11-02,21000.0
2022-11-03,19666.67
2022-11-04,21333.33
2022-11-05,21000.0
2022-11-06,21000.0
2022-11-07,21333.33
2022-11-08,21333.33
2022-11-09,20000.0
2022-11-10,19000.0
2022-11-11,18666.67
2022-11-12,18000.0
2022-11-13,18000.0
2022-11-14,18000.0
2022-11-15,18000.0
2022-11-16,17333.33
2022-11-17,16666.67
2022-11-18,16000.0
2022-11-19,15666.67
2022-11-20,15666.67
2022-11-21,16000.0
2022-11-22,16333.33
2022-11-23,16333.33
2022-11-24,17000.0
2022-11-25,17666.67
2022-11-26,16666.67
2022-11-27,16666.67
2022-11-28,19333.33
2022-11-29,20333.33
2022-11-30,21666.67
2022-12-01,21666.67
2022-12-02,21666.67
2022-12-03,21666.67
2022-12-04,22666.67
2022-12-05,23333.33
2022-12-06,23333.33
2022-12-07,23333.33
2022-12-08,24000.0
2022-12-09,22666.67
2022-12-10,22666.67
2022-12-11,22666.67
2022-12-12,24000.0
2022-12-13,23333.33
2022-12-14,23000.0
2022-12-15,22333.33
2022-12-16,22666.67
2022-12-17,22666.67
2022-12-18,23333.33
2022-12-19,23666.67
2022-12-20,20000.0
2022-12-21,20000.0
2022-12-22,19333.33
2022-12-23,18333.33
2022-12-24,18000.0
2022-12-25,18000.0
2022-12-26,18000.0
2022-12-27,18000.0
2022-12-28,18333.33
2022-12-29,19666.67
2022-12-30,19000.0
2022-12-31,19000.0
2023-01-01,20666.67
2023-01-02,22000.0
2023-01-03,21333.33
2023-01-04,23000.0
2023-01-05,23000.0
2023-01-06,24000.0
2023-01-07,24333.33
2023-01-08,26666.67
2023-01-09,27333.33
2023-01-10,30666.67
2023-01-11,33666.67
2023-01-12,33000.0
2023-01-13,34000.0
2023-01-14,34000.0
2023-01-15,32666.67
2023-01-16,30666.67
2023-01-17,30666.67
2023-01-18,30666.67
2023-01-19,29333.33
2023-01-20,30000.0
2023-01-21,28666.67
2023-01-22,28666.67
2023-01-23,28666.67
2023-01-24,28666.67
2023-01-25,28666.67
2023-01-26,28666.67
2023-01-27,27000.0
2023-01-28,25333.33
2023-01-29,24666.67
2023-01-30,24333.33
2023-01-31,25000.0
2023-02-01,23333.33
2023-02-02,23333.33
2023-02-03,24000.0
2023-02-04,24666.67
2023-02-05,26333.33
2023-02-06,29666.67
2023-02-07,29666.67
2023-02-08,28333.33
2023-02-09,31666.67
2023-02-10,31666.67
2023-02-11,31666.67
2023-02-12,31666.67
2023-02-13,31666.67
2023-02-14,31666.67
2023-02-15,31666.67
2023-02-16,32666.67
2023-02-17,36000.0
2023-02-18,36666.67
2023-02-19,36666.67
2023-02-20,39666.67
2023-02-21,38666.67
2023-02-22,41000.0
2023-02-23,41666.67
2023-02-24,40000.0
2023-02-25,41666.67
2023-02-26,33333.33
2023-02-27,25666.67
